echeance,strike,type,bid,ask,close,mid_option_price,reference_type,spread_pct,quote_age_seconds,flag,reference_spot,reference_type_spot,capture_ts,snapshot_version
20260630,6500.0,P,207.6,212.0,243.7,209.8,mid,0.02097,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6525.0,C,2.3,2.8,1.8,2.55,mid,0.19608,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6525.0,P,230.3,237.1,267.9,233.7,mid,0.0291,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6550.0,C,1.4,1.9,1.2,1.65,mid,0.30303,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6550.0,P,254.4,261.3,292.3,257.85,mid,0.02676,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6575.0,C,0.9,1.4,0.9,1.15,mid,0.43478,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6575.0,P,278.8,285.7,316.9,282.25,mid,0.02445,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6600.0,C,0.6,1.0,0.7,0.8,mid,0.5,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6600.0,P,303.4,310.3,341.7,306.85,mid,0.02249,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6000.0,C,300.8,308.6,273.0,304.70000000000005,mid,0.0256,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6000.0,P,8.7,9.3,12.5,9.0,mid,0.06667,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6025.0,C,277.4,285.1,250.2,281.25,mid,0.02738,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6025.0,P,10.2,10.8,14.7,10.5,mid,0.05714,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6050.0,C,254.4,261.9,227.9,258.15,mid,0.02905,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6050.0,P,11.9,12.7,17.3,12.3,mid,0.06504,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6075.0,C,234.0,238.1,206.1,236.05,mid,0.01737,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6075.0,P,14.2,14.9,20.5,14.55,mid,0.04811,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6100.0,C,211.8,215.1,184.9,213.45,mid,0.01546,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6100.0,P,16.9,17.7,24.3,17.299999999999997,mid,0.04624,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6125.0,C,190.6,193.1,164.4,191.85,mid,0.01303,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6125.0,P,20.2,21.1,28.8,20.65,mid,0.04358,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6150.0,C,169.5,172.1,144.8,170.8,mid,0.01522,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6150.0,P,24.2,25.1,34.2,24.65,mid,0.03651,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6175.0,C,149.3,151.9,126.2,150.60000000000002,mid,0.01726,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6175.0,P,28.9,29.9,40.5,29.4,mid,0.03401,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6200.0,C,130.1,132.5,108.6,131.3,mid,0.01828,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6200.0,P,34.6,35.7,47.9,35.150000000000006,mid,0.03129,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6225.0,C,111.9,114.3,92.3,113.1,mid,0.02122,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6225.0,P,41.3,42.5,56.6,41.9,mid,0.02864,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6250.0,C,95.1,97.3,77.3,96.19999999999999,mid,0.02287,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260703,6250.0,P,49.3,50.5,66.6,49.9,mid,0.02405,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
